Feature,Importance
cat__Date_2024-10-20 17:07:41,0.12
cat__Date_2024-10-21 10:01:41,0.12
cat__Date_2024-10-22 08:01:41,0.1
cat__Date_2024-10-22 04:13:41,0.06
cat__Date_2024-10-22 15:14:41,0.06
cat__Date_2024-10-23 10:51:41,0.06
cat__Date_2024-10-13 19:11:41,0.04
cat__Date_2024-10-14 08:07:41,0.04
cat__Date_2024-10-14 13:46:41,0.04
cat__Date_2024-10-14 15:53:41,0.04
cat__Date_2024-10-14 16:12:41,0.04
cat__Date_2024-10-20 11:58:41,0.04
cat__Date_2024-10-24 11:18:41,0.04
cat__Date_2024-10-10 11:25:41,0.02
cat__Date_2024-10-17 09:53:41,0.02
cat__Date_2024-10-18 08:25:41,0.02
cat__Date_2024-10-20 11:52:41,0.02
cat__Date_2024-10-23 16:04:41,0.02
cat__Date_2024-10-23 19:39:41,0.02
cat__Date_2024-10-25 07:01:41,0.02
cat__Date_2024-10-25 22:16:41,0.02
cat__Date_2024-10-26 13:48:41,0.02
cat__Date_2024-10-27 17:48:41,0.02
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Adjunto encontrarás los detalles. Visita: http://reclama.com/277,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Adjunto encontrarás los detalles. Visita: http://reclama.com/306,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Adjunto encontrarás los detalles. Visita: http://reclama.com/555,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Adjunto encontrarás los detalles. Visita: http://reclama.com/689,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Adjunto encontrarás los detalles. Visita: http://reclama.com/943,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://ofertas.com/162,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://ofertas.com/583,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://ofertas.com/723,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://promo.com/263,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://promo.com/301,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://promo.com/354,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://promo.com/804,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://reclama.com/109,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://reclama.com/141,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://reclama.com/191,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://reclama.com/477,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://reclama.com/778,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Haz clic aquí para más información. Visita: http://reclama.com/849,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://ofertas.com/384,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://ofertas.com/431,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://ofertas.com/565,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://promo.com/204,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://promo.com/529,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://promo.com/791,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://reclama.com/179,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://reclama.com/230,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://reclama.com/549,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://reclama.com/588,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://reclama.com/616,0.0
cat__Body_Compra 1 y llévate 2 — sólo por tiempo limitado. Llámame si tienes dudas. Visita: http://reclama.com/798,0.0
